Date,Open,High,Low,Close,Adj Close,Volume
2022-02-01,0.000026,0.000026,0.000026,0.000026,0.000026,1114874
2022-02-02,0.000026,0.000026,0.000027,0.000027,0.000027,1196069
2022-02-03,0.000027,0.000027,0.000027,0.000027,0.000027,1129859
2022-02-04,0.000027,0.000026,0.000025,0.000024,0.000024,1425378
2022-02-05,0.000024,0.000024,0.000024,0.000024,0.000024,1223091
2022-02-06,0.000024,0.000024,0.000024,0.000024,0.000024,956613
2022-02-07,0.000024,0.000023,0.000024,0.000023,0.000023,1474345
2022-02-08,0.000023,0.000023,0.000023,0.000023,0.000023,1637197
2022-02-09,0.000023,0.000023,0.000023,0.000023,0.000023,1204063
2022-02-10,0.000023,0.000022,0.000023,0.000023,0.000023,1775154
2022-02-11,0.000023,0.000023,0.000023,0.000024,0.000024,1574069
2022-02-12,0.000024,0.000023,0.000024,0.000024,0.000024,1163202
2022-02-13,0.000024,0.000024,0.000024,0.000024,0.000024,978188
2022-02-14,0.000024,0.000024,0.000023,0.000023,0.000023,1134581
2022-02-15,0.000023,0.000023,0.000023,0.000022,0.000022,1201169
2022-02-16,0.000022,0.000023,0.000023,0.000023,0.000023,1108451
2022-02-17,0.000023,0.000024,0.000023,0.000025,0.000025,1465945
2022-02-18,0.000025,0.000025,0.000025,0.000025,0.000025,1315957
2022-02-19,0.000025,0.000025,0.000025,0.000025,0.000025,929128
2022-02-20,0.000025,0.000026,0.000026,0.000026,0.000026,1186819
2022-02-21,0.000026,0.000026,0.000025,0.000027,0.000027,1943175
2022-02-22,0.000027,0.000026,0.000027,0.000026,0.000026,1581236
2022-02-23,0.000026,0.000026,0.000026,0.000027,0.000027,1470527
2022-02-24,0.000027,0.000027,0.000028,0.000026,0.000026,2816193
2022-02-25,0.000026,0.000026,0.000026,0.000026,0.000026,1683709
2022-02-26,0.000026,0.000025,0.000025,0.000026,0.000026,1194438
2022-02-27,0.000026,0.000026,0.000026,0.000027,0.000027,1518375
2022-02-28,0.000027,0.000024,0.000023,0.000023,0.000023,1674586
2022-03-01,0.000023,0.000023,0.000023,0.000023,0.000023,1699680
2022-03-02,0.000023,0.000023,0.000023,0.000023,0.000023,1549864
2022-03-03,0.000023,0.000023,0.000024,0.000024,0.000024,1343484
2022-03-04,0.000024,0.000024,0.000024,0.000026,0.000026,1581616
2022-03-05,0.000026,0.000025,0.000026,0.000025,0.000025,997601
2022-03-06,0.000025,0.000026,0.000026,0.000026,0.000026,1143009
2022-03-07,0.000026,0.000026,0.000026,0.000026,0.000026,1611417
2022-03-08,0.000026,0.000026,0.000026,0.000026,0.000026,1437064
2022-03-09,0.000026,0.000024,0.000026,0.000024,0.000024,1596313
2022-03-10,0.000024,0.000026,0.000024,0.000025,0.000025,1668084
2022-03-11,0.000025,0.000026,0.000026,0.000026,0.000026,1496362
2022-03-12,0.000026,0.000026,0.000026,0.000026,0.000026,979362
2022-03-13,0.000026,0.000026,0.000026,0.000026,0.000026,1116753
2022-03-14,0.000026,0.000026,0.000026,0.000025,0.000025,1326384
2022-03-15,0.000025,0.000025,0.000026,0.000025,0.000025,1346290
